LSPMJ0111+0455,01115562+0455048,tel07,10,1
LSPMJ0111+0454,01115799+0454120,tel06,533,55
LSPMJ0111+0454,01115799+0454120,tel07,10,1
LSPMJ0112+1502,01120002+1502170,tel04,57,56
LSPMJ0112+0154,01124752+0154395,tel05,2904,149
LSPMJ0112+0154,01124752+0154395,tel06,2268,141
LSPMJ0113+5118,01131873+5118518,tel05,341,86
LSPMJ0114+4428,01144035+4428465,tel02,12,3
LSPMJ0114+4428,01144035+4428465,tel03,825,138
LSPMJ0115+2908,01151899+2908412,tel07,140,68
LSPMJ0115+4702S,01155017+4702023,tel04,139,73
LSPMJ0116+4216,01162511+4216257,tel08,102,67
LSPMJ0117+6459,01174255+6459047,tel05,514,83
LSPMJ0119+5951,01191709+5951220,tel07,86,22
LSPMJ0119+5951,01191709+5951220,tel08,267,102
LSPMJ0119+5450,01192628+5450382,tel05,1286,161
LSPMJ0119+8409,01195227+8409327,tel02,3049,158
LSPMJ0119+8409,01195227+8409327,tel08,4334,91
LSPMJ0120+3302,01202841+3302388,tel02,113,70
LSPMJ0121+4647,01212386+4647373,tel08,188,70
LSPMJ0122+2209,01221027+2209032,tel02,358,64
LSPMJ0122+5247,01221914+5247348,tel05,168,79
LSPMJ0122+8854,01223043+8854309,tel05,25165,887
LSPMJ0122+8854,01223043+8854309,tel06,11152,365
LSPMJ0122+5405,01223428+5405275,tel05,165,79
LSPMJ0122+0032S,01224500+0032042,tel08,156,51
LSPMJ0123+3559,01230222+3559414,tel08,1279,116
LSPMJ0123+0257E,01231508+0257124,tel07,90,54
LSPMJ0124+6819,01242326+6819312,tel03,79,75
LSPMJ0125+0945,01253666+0945244,tel01,298,59
LSPMJ0126+3005,01261945+3005201,tel06,109,67
LSPMJ0128+5211,01282259+5211510,tel05,565,79
LSPMJ0128+8656,01285815+8656176,tel01,368,114
LSPMJ0130+0236,01304311+0236369,tel06,55,53
LSPMJ0132+2904E,01325459+2904559,tel07,411,68
LSPMJ0134+6530,01340099+6530537,tel04,177,89
LSPMJ0134+6530,01340099+6530537,tel06,4,3
LSPMJ0134+1257,01341058+1257530,tel04,183,56
LSPMJ0134+6459,01341139+6459360,tel08,77,71
LSPMJ0135+4138,01355978+4138116,tel06,274,71
LSPMJ0136+2940,01361774+2940545,tel07,141,66
LSPMJ0136+4500,01363862+4500152,tel06,92,76
LSPMJ0136+5215,01365275+5215026,tel03,144,73
LSPMJ0137+4216,01370716+4216122,tel03,123,21
LSPMJ0137+4216,01370716+4216122,tel04,929,160
LSPMJ0137+3823,01374851+3823318,tel04,14729,280
LSPMJ0137+3823,01374851+3823318,tel08,13725,328
LSPMJ0138+2849,01381723+2849124,tel05,353,69
LSPMJ0140+3147,01401649+3147306,tel01,289,73
LSPMJ0141+3016,01411566+3016111,tel04,3300,359
LSPMJ0141+3016,01411566+3016111,tel05,2723,283
LSPMJ0141+3843,01415502+3843267,tel05,116,74
LSPMJ0141+3843,01415502+3843267,tel07,10,5
